id,timestamp,model,settings,eval_split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,cv_macro_f1,purpose
E1,2026-09-14T19:04:58+00:00,logreg,"TF-IDF ngram=(1, 2) min_df=2 max_df=0.95 sublinear=True; C=1.0; class_weight=balanced",validation,0.6916,0.5638,0.6409,0.5951,0.7047,,Baseline
E2,2026-09-14T19:05:00+00:00,linear_svm,"TF-IDF ngram=(1, 2) min_df=2 max_df=0.95 sublinear=True; C=1.0; class_weight=balanced",validation,0.7312,0.6186,0.6105,0.6130,0.7288,,Comparison
